TICK     | ID   | EVENTO                    | POSIZIONE    | BATT   | CARICO
----------------------------------------------------------------------------
0        | 1    | Stato: EXPLORE            | (0,0)        | 499    | NO
1        | 2    | Stato: EXPLORE            | (0,2)        | 499    | NO
2        | 3    | Stato: EXPLORE            | (1,1)        | 499    | NO
3        | 4    | Stato: EXPLORE            | (0,0)        | 499    | NO
4        | 5    | Stato: EXPLORE            | (2,0)        | 499    | NO
12       | 3    | Stato: RETRIEVE           | (3,9)        | 489    | NO
15       | 3    | RACCOLTA OGGETTO          | (4,10)       | 486    | SI
16       | 1    | Stato: RETRIEVE           | (7,3)        | 483    | NO
19       | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 482    | NO
19       | 1    | RACCOLTA OGGETTO          | (7,5)        | 480    | SI
23       | 3    | Stato: EXPLORE            | (4,11)       | 478    | NO
28       | 4    | Stato: RETRIEVE           | (5,8)        | 474    | NO
30       | 3    | Stato: RETRIEVE           | (1,11)       | 471    | NO
31       | 1    | CONSEGNA EFFETTUATA       | (2,11)       | 468    | NO
32       | 4    | RACCOLTA OGGETTO          | (7,9)        | 470    | SI
35       | 1    | Stato: EXPLORE            | (4,11)       | 464    | NO
36       | 1    | Stato: RETRIEVE           | (3,11)       | 463    | NO
46       | 3    | RACCOLTA OGGETTO          | (7,18)       | 455    | SI
61       | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 440    | NO
64       | 4    | CONSEGNA EFFETTUATA       | (2,11)       | 438    | NO
65       | 3    | Stato: EXPLORE            | (4,11)       | 436    | NO
66       | 3    | Stato: RETRIEVE           | (4,10)       | 435    | NO
70       | 4    | Stato: EXPLORE            | (4,13)       | 432    | NO
71       | 4    | Stato: RETRIEVE           | (4,14)       | 431    | NO
73       | 1    | RACCOLTA OGGETTO          | (7,11)       | 426    | SI
85       | 1    | CONSEGNA EFFETTUATA       | (2,11)       | 414    | NO
87       | 3    | Stato: EXPLORE            | (7,11)       | 414    | NO
91       | 1    | Stato: EXPLORE            | (4,11)       | 408    | NO
92       | 1    | Stato: RETRIEVE           | (4,10)       | 407    | NO
94       | 3    | Stato: RETRIEVE           | (4,7)        | 407    | NO
118      | 4    | Stato: EXPLORE            | (7,11)       | 384    | NO
143      | 1    | RACCOLTA OGGETTO          | (11,7)       | 356    | SI
148      | 4    | Stato: RETRIEVE           | (12,6)       | 354    | NO
149      | 1    | CONSEGNA EFFETTUATA       | (11,2)       | 350    | NO
151      | 4    | RACCOLTA OGGETTO          | (12,4)       | 351    | SI
153      | 1    | Stato: EXPLORE            | (11,4)       | 346    | NO
154      | 1    | Stato: RETRIEVE           | (10,4)       | 345    | NO
155      | 4    | CONSEGNA EFFETTUATA       | (11,2)       | 347    | NO
161      | 4    | Stato: EXPLORE            | (11,4)       | 341    | NO
162      | 4    | Stato: RETRIEVE           | (11,5)       | 340    | NO
169      | 3    | RACCOLTA OGGETTO          | (10,19)      | 332    | SI
174      | 3    | CONSEGNA EFFETTUATA       | (11,22)      | 327    | NO
178      | 1    | Stato: EXPLORE            | (10,19)      | 321    | NO
178      | 3    | Stato: EXPLORE            | (11,20)      | 323    | NO
203      | 1    | Stato: RETRIEVE           | (16,12)      | 296    | NO
206      | 1    | RACCOLTA OGGETTO          | (16,10)      | 293    | SI
213      | 4    | Stato: EXPLORE            | (4,15)       | 289    | NO
218      | 1    | CONSEGNA EFFETTUATA       | (22,11)      | 281    | NO
222      | 1    | Stato: EXPLORE            | (20,11)      | 277    | NO
255      | 3    | Stato: RETRIEVE           | (22,12)      | 246    | NO
266      | 1    | Stato: RETRIEVE           | (19,22)      | 233    | NO
269      | 1    | RACCOLTA OGGETTO          | (19,20)      | 230    | SI
282      | 1    | CONSEGNA EFFETTUATA       | (22,11)      | 217    | NO
